dates,satname,MNDWI_threshold,cloud_cover,geoaccuracy
1985-03-28 15:46:31+00:00,L5,-0.15737399354111403,0.0,3.848
1985-04-13 15:46:27+00:00,L5,-0.1862726955441758,0.0,5.408
1990-01-05 15:38:52+00:00,L5,-0.36805098300101236,0.0,4.012
1991-02-09 15:36:48+00:00,L5,-0.21829024903126992,0.059931506849315065,8.513
1991-04-30 15:38:20+00:00,L5,-0.3350757898588199,0.1404109589041096,4.196
1993-03-18 15:38:19+00:00,L5,-0.22252812288934365,0.0,4.257
1993-04-19 15:38:31+00:00,L5,-0.22032820942695253,0.0,3.83
1993-05-05 15:38:35+00:00,L5,-0.2654343440372031,0.0,3.869
1995-08-31 15:18:48+00:00,L5,-0.2575902914395556,0.0,4.147
1996-02-07 15:21:03+00:00,L5,-0.30787483556196094,0.0,4.362
1996-02-23 15:22:08+00:00,L5,-0.31591144402045757,0.0,4.061
1996-04-11 15:25:13+00:00,L5,-0.23238750008749776,0.0,4.239
1996-11-21 15:37:13+00:00,L5,-0.2906946295988746,0.0,4.29
1997-01-24 15:40:15+00:00,L5,-0.23233647336019203,0.0,4.196
1997-07-03 15:46:12+00:00,L5,-0.37347985635278746,0.0,5.474
1997-08-20 15:47:48+00:00,L5,-0.3574215728440322,0.0,3.97
1997-09-05 15:48:16+00:00,L5,-0.309861328889383,0.0,4.011
1997-09-21 15:48:43+00:00,L5,-0.24844901583855972,0.0,3.809
1997-11-08 15:50:01+00:00,L5,-0.2545335899631027,0.0,4.459
1998-04-01 15:52:56+00:00,L5,-0.24661326652858406,0.0,3.604
1998-06-20 15:54:04+00:00,L5,-0.4090759388054721,0.0,3.987
1998-08-07 15:54:32+00:00,L5,-0.14028722658986226,0.192351598173516,3.645
1998-10-26 15:55:00+00:00,L5,-0.24839499572408386,0.0,4.128
1999-03-03 15:55:19+00:00,L5,-0.2916638233582489,0.0,4.732
1999-03-19 15:55:06+00:00,L5,-0.296117844467517,0.0,4.636
1999-11-14 15:51:51+00:00,L5,-0.25598514251760207,0.0,3.855
1999-11-30 15:51:19+00:00,L5,-0.22077856690157205,0.08789954337899543,4.066
1999-12-16 15:51:16+00:00,L5,-0.2962255582388025,0.0,3.825
2000-02-18 15:49:54+00:00,L5,-0.24428441462805495,0.0,4.44
2000-05-16 16:08:15+00:00,L7,-0.23036985711065916,0.10858400586940573,4.618
2000-10-23 16:06:23+00:00,L7,-0.21089243912384226,0.0,3.557
2000-12-18 15:55:41+00:00,L5,-0.28440479055279866,0.0,3.851
2001-01-11 16:06:37+00:00,L7,-0.2863975081960401,0.0,4.195
2001-02-04 15:56:09+00:00,L5,-0.292547196499072,0.0,3.767
2001-02-20 15:56:12+00:00,L5,-0.22483443946111947,0.0,4.209
2001-05-11 15:56:19+00:00,L5,-0.24309946046560071,0.0,4.794
2001-07-14 15:56:32+00:00,L5,-0.2955352369172033,0.0,3.721
2001-10-26 16:04:26+00:00,L7,-0.1962190669630045,0.0,3.448
2002-02-15 16:05:01+00:00,L7,-0.22635271248755062,0.0,4.312
2002-03-19 16:04:53+00:00,L7,-0.19085734132938637,0.0,4.363
2002-04-20 16:04:54+00:00,L7,-0.20631841882555335,0.0,4.458
2003-02-18 16:04:49+00:00,L7,-0.2434431688258185,0.0,4.184
2003-03-22 16:04:48+00:00,L7,-0.2416585315899693,0.0,3.976
2004-01-20 16:05:08+00:00,L7,-0.22129111700023574,0.03991195891415994,3.858
2004-03-24 16:05:25+00:00,L7,-0.18204403996678178,0.0,3.852
2004-12-05 16:05:17+00:00,L7,-0.16511007053032872,0.30755685986793835,4.195
2005-02-23 16:05:48+00:00,L7,-0.2245973042226512,0.0,4.024
2005-04-12 16:05:43+00:00,L7,-0.2720034475091553,0.0,3.734
2005-04-28 16:05:43+00:00,L7,-0.2587889245983661,0.0,4.227
2006-01-09 16:05:58+00:00,L7,-0.1714171501501002,0.0,4.116
2006-04-15 16:06:09+00:00,L7,-0.2194923336830784,0.0,3.794
2006-05-17 16:06:12+00:00,L7,-0.20954686177312337,0.015847395451210566,3.577
2007-10-03 16:09:04+00:00,L5,-0.20775228046113625,0.0,3.278
2007-10-27 16:06:04+00:00,L7,-0.26053385919089744,0.15319148936170213,3.782
2007-12-14 16:06:26+00:00,L7,-0.26514402301884094,0.2661775495231108,3.591
2008-04-04 16:06:17+00:00,L7,-0.2668334964653001,0.0,3.809
2008-04-20 16:06:15+00:00,L7,-0.2536095907901423,0.0,4.532
2008-05-06 16:06:11+00:00,L7,-0.21244323095492512,0.0,4.829
2008-12-16 16:05:38+00:00,L7,-0.2527982335048413,0.0,3.875
2009-01-01 16:05:45+00:00,L7,-0.24422504726559643,0.0,4.032
2009-02-02 16:05:55+00:00,L7,-0.22170841097278002,0.0,3.662
2009-02-18 16:06:05+00:00,L7,-0.31895231805502633,0.0,4.07
2009-03-22 16:06:21+00:00,L7,-0.1699559274151097,0.0,3.562
2009-04-07 16:06:27+00:00,L7,-0.22014310267790782,0.0,3.349
2010-04-10 16:08:21+00:00,L7,-0.17059268873089375,0.07630227439471754,3.751
2010-05-28 16:08:16+00:00,L7,-0.2566041980043435,0.0,3.67
2011-01-07 16:09:22+00:00,L7,-0.26290243647572276,0.0,3.908
2011-03-12 16:09:42+00:00,L7,-0.27183776113884645,0.0,7.679
2012-01-10 16:10:10+00:00,L7,-0.2541889984778687,0.0,4.429
2012-01-26 16:10:08+00:00,L7,-0.2272352290407234,0.0,4.138
2012-02-27 16:10:16+00:00,L7,-0.23211961687345525,0.027292736610418197,3.66
2012-03-14 16:10:15+00:00,L7,-0.19872978544353107,0.0,4.23
2013-01-28 16:12:21+00:00,L7,-0.2396766004718687,0.0,4.195
2013-03-17 16:12:15+00:00,L7,-0.1530181624146929,0.0,3.768
2013-05-04 16:12:02+00:00,L7,-0.23428124052918262,0.0,3.499
2013-05-20 16:12:00+00:00,L7,-0.19284181805849954,0.2805575935436537,3.649
2013-09-17 16:18:06+00:00,L8,-0.23690447765276731,0.018195157740278797,4.011
2013-10-19 16:17:58+00:00,L8,-0.23288643096968614,0.0,5.621
2014-02-08 16:17:05+00:00,L8,-0.22503879093472876,0.0,6.816
2014-02-24 16:16:52+00:00,L8,-0.26075206047282473,0.0,5.05
2014-03-12 16:16:40+00:00,L8,-0.22344452931074996,0.0,5.719
2014-03-28 16:16:22+00:00,L8,-0.20153164825748981,0.0,4.853
2014-05-15 16:15:41+00:00,L8,-0.38548786664383883,0.32736610418195156,6.647
2014-06-16 16:15:51+00:00,L8,-0.2844965147624574,0.0,5.623
2015-01-26 16:16:05+00:00,L8,-0.30525642312426376,0.0,4.977
2015-02-11 16:15:59+00:00,L8,-0.2713023995761418,0.0,5.38
2015-02-27 16:15:55+00:00,L8,-0.24603526995487907,0.0,3.454
2015-03-15 16:15:44+00:00,L8,-0.27732191883787116,0.0,5.07
2015-04-16 16:15:31+00:00,L8,-0.26252442752993954,0.0,5.196
2015-05-02 16:15:20+00:00,L8,-0.3460993105784538,0.0,5.326
2015-07-05 16:15:35+00:00,L8,-0.2805347311436459,0.08041085840058694,6.463
2015-09-07 16:16:00+00:00,L8,-0.277421922988974,0.0,3.719
2016-01-13 16:16:13+00:00,L8,-0.23604258364084058,0.015260454878943506,5.694
2016-03-17 16:15:57+00:00,L8,-0.3004289087510619,0.0,3.397
2016-03-28 16:30:19+00:00,S2,-0.19896266434483806,0.0,PASSED
2016-04-02 16:15:47+00:00,L8,-0.19285318199581342,0.0,5.814
2016-04-18 16:15:42+00:00,L8,-0.2294670821715722,0.0,3.685
2016-08-08 16:16:10+00:00,L8,-0.3196678145108077,0.0,5.562
2016-10-27 16:16:29+00:00,L8,-0.19894073642020604,0.0,2.864
2016-11-03 16:33:05+00:00,S2,-0.1613635103662677,0.0,PASSED
2016-11-13 16:33:06+00:00,S2,-0.2055556783854741,0.005797655453618757,PASSED
2017-01-15 16:16:18+00:00,L8,-0.29589738957608525,0.0,6.076
2017-01-31 16:16:11+00:00,L8,-0.2402668893779979,0.0,7.328
2017-02-01 16:33:01+00:00,S2,-0.22058244981649383,0.0,PASSED
2017-02-16 16:16:04+00:00,L8,-0.29093205193451566,0.0,5.913
2017-02-21 16:33:49+00:00,S2,-0.29537090251099274,0.0,PASSED
2017-03-03 16:33:00+00:00,S2,-0.4428881818052031,0.0,PASSED
2017-03-04 16:15:58+00:00,L8,-0.23207510712287435,0.0,4.797
2017-03-23 16:33:01+00:00,S2,-0.26475769468608057,0.0,PASSED
2017-04-05 16:15:41+00:00,L8,-0.32086963775855815,0.0,5.301
2017-04-12 16:33:54+00:00,S2,-0.1789105796210489,0.0,PASSED
2017-04-21 16:15:31+00:00,L8,-0.32708397928049937,0.0,5.569
2017-06-01 16:33:54+00:00,S2,-0.3500931538098579,0.0,PASSED
2017-06-08 16:15:48+00:00,L8,-0.22541484781454052,0.2711665443873808,6.574
2017-06-11 16:33:08+00:00,S2,-0.2865629355279171,0.0,PASSED
2017-07-01 16:33:06+00:00,S2,-0.362404917401905,0.0,PASSED
2017-08-25 16:33:31+00:00,S2,-0.24234638926015323,0.110282874617737,PASSED
2017-11-18 16:33:04+00:00,S2,-0.252814777220951,0.010703363914373088,PASSED
2017-11-23 16:33:43+00:00,S2,-0.24837895871339008,0.0,PASSED
2017-12-01 16:16:17+00:00,L8,-0.17985116808389928,0.10887747615553925,5.979
2017-12-28 16:33:01+00:00,S2,-0.3341489478549129,0.0,PASSED
2018-01-12 16:33:47+00:00,S2,-0.42739099047085616,0.0,PASSED
2018-01-17 16:33:48+00:00,S2,-0.43145528340840844,0.0,PASSED
2018-01-18 16:16:10+00:00,L8,-0.2686122082401343,0.0,6.33
2018-01-22 16:33:48+00:00,S2,-0.2693812362279464,0.10792558613659531,PASSED
2018-02-06 16:33:03+00:00,S2,-0.30095871641061,0.0,PASSED
2018-02-11 16:33:00+00:00,S2,-0.26290473354594024,0.0,PASSED
2018-02-21 16:33:47+00:00,S2,-0.24708269324558735,0.0022935779816513763,PASSED
2018-03-03 16:32:58+00:00,S2,-0.20092029458621113,0.0,PASSED
2018-03-08 16:33:03+00:00,S2,-0.17632065411770642,0.0,PASSED
2018-03-13 16:32:59+00:00,S2,-0.2982640085114309,0.0,PASSED
2018-03-18 16:33:04+00:00,S2,-0.22102980245321607,0.0,PASSED
2018-03-23 16:33:02+00:00,S2,-0.22593208813083,0.0,PASSED
2018-03-28 16:33:06+00:00,S2,-0.20629776493313823,0.0,PASSED
2018-04-02 16:33:52+00:00,S2,-0.2724612917843343,0.0,PASSED
2018-04-07 16:33:08+00:00,S2,-0.2414067244092911,0.0,PASSED
2018-04-08 16:15:31+00:00,L8,-0.19226398786757595,0.0,5.086
2018-04-12 16:33:05+00:00,S2,-0.2629813661191154,0.029689092762487258,PASSED
2018-04-17 16:33:56+00:00,S2,-0.30290775323581726,0.0,PASSED
2018-04-22 16:33:06+00:00,S2,-0.273825994728274,0.0,PASSED
2018-04-27 16:33:09+00:00,S2,-0.2770081236083322,0.0,PASSED
2018-05-02 16:33:38+00:00,S2,-0.30841457469031197,0.0,PASSED
2018-05-10 16:15:12+00:00,L8,-0.3056687589861231,0.0,6.179
2018-05-12 16:33:06+00:00,S2,-0.30952759828234155,0.0,PASSED
2018-05-17 16:33:10+00:00,S2,-0.1535978612817644,0.30746687054026506,PASSED
2018-05-27 16:33:57+00:00,S2,-0.3600581403326308,0.0,PASSED
2018-06-01 16:33:04+00:00,S2,-0.3463633983835599,0.0,PASSED
2018-07-13 16:15:18+00:00,L8,-0.2558759293108144,0.0,5.581
2018-10-04 16:33:04+00:00,S2,-0.18095245277927993,0.011276758409785932,PASSED
2018-10-29 16:33:05+00:00,S2,-0.18036796366732358,0.0,PASSED
2018-12-08 16:33:50+00:00,S2,-0.259875153414199,0.0,PASSED
2019-01-12 16:33:51+00:00,S2,-0.3039604997974019,0.0,PASSED
2019-01-22 16:33:52+00:00,S2,-0.3201110526660136,0.0111493374108053,PASSED
2019-02-06 16:15:54+00:00,L8,-0.1870350729093239,0.0,6.071
2019-02-06 16:33:56+00:00,S2,-0.1937537127368236,0.0,PASSED
2019-02-11 16:33:52+00:00,S2,-0.20614319360556718,0.0,PASSED
2019-02-16 16:33:55+00:00,S2,-0.3412015232668957,0.0,PASSED
2019-02-21 16:33:51+00:00,S2,-0.3096830454961008,0.0,PASSED
2019-02-22 16:15:51+00:00,L8,-0.21009574001326695,0.0,6.841
2019-03-03 16:33:50+00:00,S2,-0.22596497241439367,0.00382262996941896,PASSED
2019-03-08 16:33:53+00:00,S2,-0.14967629897348042,0.020960754332313966,PASSED
2019-03-13 16:33:51+00:00,S2,-0.1773226852761292,0.008728338430173293,PASSED
2019-03-26 16:15:42+00:00,L8,-0.20892481557308842,0.0,4.916
2019-03-28 16:33:57+00:00,S2,-0.20622766793635827,0.0,PASSED
2019-04-02 16:33:56+00:00,S2,-0.26399710397433396,0.0,PASSED
2019-04-07 16:33:59+00:00,S2,-0.3203013948383792,0.0,PASSED
2019-04-12 16:33:57+00:00,S2,-0.2721095422293495,0.0,PASSED
2019-04-17 16:34:01+00:00,S2,-0.31086566687399986,0.004204892966360856,PASSED
2019-04-22 16:33:59+00:00,S2,-0.27955228206147326,0.0,PASSED
2019-04-27 16:15:32+00:00,L8,-0.20844337932598078,0.0,6.485
2019-04-27 16:34:03+00:00,S2,-0.1777415466307864,0.19004841997961264,PASSED
2019-05-02 16:33:59+00:00,S2,-0.28372647530359474,0.0,PASSED
2019-05-12 16:33:59+00:00,S2,-0.319888319488456,0.0,PASSED
2019-05-17 16:34:04+00:00,S2,-0.32170121082609193,0.0,PASSED
2019-06-11 16:33:58+00:00,S2,-0.33019176377315185,0.11365953109072376,PASSED
2019-06-26 16:34:04+00:00,S2,-0.35983583864499336,0.0,PASSED
2019-08-17 16:16:17+00:00,L8,-0.2469020695579351,0.0,5.505
2019-10-20 16:16:32+00:00,L8,-0.16010293224365965,0.0,4.466
2019-11-23 16:33:52+00:00,S2,-0.20110754261912256,0.0040137614678899085,PASSED
2019-12-13 16:33:50+00:00,S2,-0.2706940848683903,0.0,PASSED
2020-02-01 16:33:48+00:00,S2,-0.29553687797574457,0.0,PASSED
2020-02-11 16:33:50+00:00,S2,-0.26411657797428123,0.05536442405708461,PASSED
2020-02-16 16:33:49+00:00,S2,-0.263627024400175,0.02949796126401631,PASSED
2020-02-25 16:16:07+00:00,L8,-0.19495281692584537,0.0,6.151
2020-02-26 16:33:51+00:00,S2,-0.2534748614949282,0.0,PASSED
