time,wl
1980,-0.018
1981,-0.018
1982,-0.017
1983,-0.017
1984,-0.015
1985,-0.013
1986,-0.011
1987,-0.011
1988,-0.01
1989,-0.008
1990,-0.007
1991,-0.004
1992,-0.003
1993,-0.004
1994,-0.005
1995,-0.004
1996,-0.002
1997,-0.001
1998,0.001
1999,0.002
2000,0.005
2001,0.006
2002,0.01
2003,0.012
2004,0.015
2005,0.017
2006,0.019
2007,0.021
2008,0.025
2009,0.027
2010,0.03
2011,0.034
2012,0.038
2013,0.042
2014,0.044
2015,0.047
2016,0.05
2017,0.055
2018,0.06
2019,0.065
2020,0.07
2021,0.075
2022,0.08
2023,0.085
2024,0.091
