Time,wl_126_q5,wl_126_q50,wl_126_q95,wl_245_q5,wl_245_q50,wl_245_q95,wl_585_q5,wl_585_q50,wl_585_q95
2025,0.086,0.087,0.091,0.086,0.087,0.09,0.086,0.088,0.094
2026,0.089,0.092,0.1,0.089,0.092,0.097,0.089,0.093,0.106
2027,0.093,0.097,0.11,0.092,0.096,0.104,0.093,0.098,0.119
2028,0.096,0.101,0.119,0.096,0.101,0.111,0.096,0.103,0.132
2029,0.099,0.106,0.13,0.099,0.105,0.118,0.099,0.108,0.146
2030,0.102,0.111,0.14,0.102,0.11,0.126,0.103,0.114,0.16
2031,0.105,0.115,0.151,0.105,0.114,0.133,0.106,0.12,0.175
2032,0.107,0.12,0.162,0.109,0.119,0.141,0.11,0.126,0.191
2033,0.11,0.125,0.174,0.112,0.124,0.148,0.114,0.132,0.207
2034,0.113,0.13,0.186,0.115,0.128,0.156,0.117,0.138,0.224
2035,0.115,0.134,0.198,0.118,0.133,0.164,0.121,0.144,0.241
2036,0.118,0.139,0.211,0.122,0.138,0.172,0.125,0.151,0.259
2037,0.121,0.144,0.223,0.126,0.143,0.181,0.129,0.158,0.277
2038,0.123,0.149,0.236,0.129,0.148,0.189,0.134,0.165,0.295
2039,0.126,0.154,0.248,0.133,0.153,0.198,0.138,0.172,0.314
2040,0.13,0.16,0.261,0.137,0.159,0.208,0.142,0.179,0.333
2041,0.133,0.165,0.273,0.141,0.165,0.217,0.147,0.187,0.352
2042,0.136,0.17,0.286,0.146,0.171,0.227,0.152,0.194,0.372
2043,0.14,0.176,0.299,0.15,0.177,0.237,0.157,0.202,0.392
2044,0.143,0.181,0.312,0.154,0.183,0.247,0.162,0.21,0.413
2045,0.147,0.187,0.324,0.159,0.19,0.258,0.167,0.219,0.433
2046,0.15,0.192,0.337,0.164,0.196,0.269,0.173,0.227,0.455
2047,0.154,0.198,0.35,0.168,0.203,0.279,0.178,0.236,0.476
2048,0.157,0.203,0.363,0.172,0.209,0.29,0.184,0.244,0.498
2049,0.16,0.209,0.376,0.177,0.215,0.301,0.189,0.253,0.52
2050,0.164,0.214,0.388,0.181,0.222,0.312,0.195,0.261,0.543
2051,0.166,0.219,0.401,0.184,0.228,0.323,0.201,0.27,0.566
2052,0.169,0.224,0.414,0.188,0.234,0.334,0.206,0.279,0.59
2053,0.172,0.229,0.426,0.192,0.24,0.345,0.212,0.288,0.614
2054,0.175,0.234,0.439,0.195,0.246,0.356,0.218,0.297,0.638
2055,0.177,0.239,0.452,0.198,0.252,0.367,0.224,0.306,0.663
2056,0.18,0.244,0.465,0.202,0.258,0.378,0.23,0.315,0.688
2057,0.183,0.249,0.477,0.205,0.264,0.389,0.236,0.324,0.714
2058,0.185,0.254,0.49,0.209,0.27,0.401,0.242,0.334,0.741
2059,0.188,0.26,0.503,0.213,0.277,0.413,0.249,0.344,0.768
2060,0.191,0.265,0.516,0.217,0.283,0.424,0.255,0.354,0.796
2061,0.195,0.271,0.529,0.221,0.289,0.436,0.262,0.364,0.824
2062,0.198,0.277,0.542,0.225,0.296,0.448,0.269,0.375,0.853
2063,0.201,0.283,0.556,0.23,0.303,0.461,0.276,0.386,0.883
2064,0.205,0.288,0.569,0.234,0.31,0.473,0.283,0.397,0.914
2065,0.208,0.295,0.582,0.239,0.316,0.485,0.29,0.408,0.944
2066,0.212,0.301,0.596,0.243,0.323,0.498,0.298,0.42,0.976
2067,0.215,0.307,0.61,0.248,0.331,0.511,0.305,0.432,1.009
2068,0.218,0.312,0.624,0.252,0.338,0.524,0.312,0.443,1.043
2069,0.221,0.318,0.638,0.257,0.345,0.537,0.32,0.456,1.077
2070,0.224,0.324,0.652,0.261,0.352,0.55,0.327,0.468,1.112
2071,0.227,0.33,0.667,0.265,0.36,0.563,0.334,0.48,1.148
2072,0.23,0.335,0.682,0.27,0.367,0.577,0.342,0.493,1.185
2073,0.232,0.341,0.697,0.274,0.375,0.59,0.349,0.506,1.223
2074,0.234,0.346,0.713,0.278,0.383,0.604,0.356,0.519,1.261
2075,0.237,0.351,0.728,0.282,0.39,0.618,0.363,0.532,1.301
2076,0.239,0.357,0.744,0.287,0.398,0.632,0.371,0.546,1.341
2077,0.241,0.362,0.76,0.291,0.406,0.646,0.379,0.56,1.381
2078,0.243,0.367,0.776,0.295,0.414,0.661,0.386,0.574,1.423
2079,0.245,0.373,0.792,0.299,0.422,0.675,0.394,0.589,1.464
2080,0.248,0.378,0.809,0.304,0.43,0.69,0.403,0.604,1.507
2081,0.25,0.384,0.825,0.308,0.438,0.705,0.411,0.619,1.55
2082,0.252,0.389,0.841,0.312,0.446,0.72,0.42,0.634,1.594
2083,0.255,0.395,0.858,0.317,0.454,0.735,0.428,0.65,1.638
2084,0.257,0.401,0.875,0.321,0.462,0.751,0.437,0.666,1.683
2085,0.259,0.406,0.891,0.326,0.471,0.767,0.446,0.683,1.728
2086,0.261,0.412,0.908,0.329,0.479,0.782,0.455,0.699,1.774
2087,0.262,0.418,0.925,0.333,0.487,0.798,0.463,0.716,1.821
2088,0.263,0.423,0.943,0.336,0.495,0.814,0.471,0.733,1.868
2089,0.264,0.429,0.96,0.338,0.502,0.83,0.479,0.75,1.916
2090,0.264,0.435,0.977,0.34,0.51,0.846,0.486,0.767,1.965
2091,0.264,0.44,0.995,0.342,0.518,0.863,0.492,0.784,2.014
2092,0.263,0.446,1.012,0.343,0.525,0.879,0.499,0.801,2.063
2093,0.262,0.451,1.03,0.343,0.533,0.896,0.504,0.818,2.113
2094,0.26,0.457,1.048,0.344,0.54,0.912,0.51,0.835,2.164
2095,0.258,0.462,1.066,0.343,0.547,0.929,0.515,0.853,2.216
2096,0.256,0.468,1.084,0.343,0.554,0.946,0.52,0.87,2.267
2097,0.254,0.473,1.102,0.342,0.561,0.963,0.525,0.888,2.319
2098,0.252,0.479,1.12,0.342,0.569,0.98,0.53,0.905,2.37
2099,0.25,0.484,1.138,0.342,0.576,0.996,0.535,0.922,2.421
2100,0.247,0.49,1.156,0.341,0.583,1.013,0.54,0.94,2.473
