peak_datetime,Hs_offshore (m),Tp (s),Dir (deg),Hs_nearshore (m),R2_A1,R2_A2,R2_B1,R2_B2,R2_B3,R2_B4,R2_B5,R2_B6,R2_C1,R2_C2,setup_A1,setup_A2,setup_B1,setup_B2,setup_B3,setup_B4,setup_B5,setup_B6,setup_C1,setup_C2,S_total_A1,S_total_A2,S_total_B1,S_total_B2,S_total_B3,S_total_B4,S_total_B5,S_total_B6,S_total_C1,S_total_C2
1990-01-03 20:00:00,1.3739013671875,13.189308166503906,219.2903289794922,0.8120052162597066,0.9312897,0.8428775,0.8004977,0.8428775,0.8428775,0.8004977,0.7594581,0.8428775,1.0239779,0.8004977,0.28587535,0.23389803,0.20790936,0.23389803,0.23389803,0.20790936,0.18192069,0.23389803,0.3378527,0.20790936,1.0813043,1.0223325,0.9962131,1.0223325,1.0223325,0.9962131,0.9725841,1.0223325,1.1480789,0.9962131
1990-01-04 00:00:00,1.344970703125,13.089698791503906,217.01832580566406,0.8628358023460314,0.9527459,0.86229676,0.8189406,0.86229676,0.86229676,0.8189406,0.7769555,0.86229676,1.0475695,0.8189406,0.29246172,0.23928687,0.21269943,0.23928687,0.23928687,0.21269943,0.186112,0.23928687,0.34563658,0.21269943,1.1062168,1.0458864,1.0191652,1.0458864,1.0458864,1.0191652,0.9949918,1.0458864,1.1745298,1.0191652
1990-01-05 23:00:00,1.392822265625,13.015480041503906,195.15679931640625,1.0284764831229602,1.0342863,0.9360961,0.8890292,0.9360961,0.9360961,0.8890292,0.84345084,0.9360961,1.1372253,0.8890292,0.31749192,0.2597661,0.23090321,0.2597661,0.2597661,0.23090321,0.20204031,0.2597661,0.37521774,0.23090321,1.2008919,1.1353981,1.1063899,1.1353981,1.1353981,1.1063899,1.0801476,1.1353981,1.2750514,1.1063899
1990-01-06 04:00:00,1.3974609375,12.775733947753906,195.7200469970703,1.0208976389438076,1.011487,0.9154613,0.869432,0.9154613,0.9154613,0.869432,0.82485837,0.9154613,1.112157,0.869432,0.31049332,0.25404,0.22581333,0.25404,0.25404,0.22581333,0.19758666,0.25404,0.36694664,0.22581333,1.1744201,1.11037,1.0820013,1.11037,1.11037,1.0820013,1.0563376,1.11037,1.2469449,1.0820013
1990-01-07 00:00:00,1.3583984375,12.287452697753906,201.57296752929688,0.9726655140268256,0.94957,0.8594224,0.8162107,0.8594224,0.8594224,0.8162107,0.77436554,0.8594224,1.0440775,0.8162107,0.29148683,0.23848921,0.21199042,0.23848921,0.23848921,0.21199042,0.1854916,0.23848921,0.34448442,0.21199042,1.1025293,1.0424,1.0157678,1.0424,1.0424,1.0157678,0.991675,1.0424,1.1706146,1.0157678
1990-01-08 22:00:00,1.355224609375,12.085304260253906,194.55657958984375,0.9733083712047417,0.9342566,0.84556276,0.80304796,0.84556276,0.84556276,0.80304796,0.76187766,0.84556276,1.02724,0.80304796,0.2867861,0.23464319,0.20857172,0.23464319,0.23464319,0.20857172,0.18250026,0.23464319,0.33892906,0.20857172,1.0847492,1.0255896,0.9993869,1.0255896,1.0255896,0.9993869,0.9756826,1.0255896,1.1517365,0.9993869
1990-01-09 04:00:00,1.3585405349731445,12.740089416503906,196.64256286621094,0.9934911995913034,0.99503386,0.9005701,0.8552895,0.9005701,0.9005701,0.8552895,0.81144094,0.9005701,1.0940663,0.8552895,0.30544272,0.24990769,0.22214016,0.24990769,0.24990769,0.22214016,0.19437264,0.24990769,0.36097777,0.22214016,1.1553166,1.0923084,1.0644011,1.0923084,1.0923084,1.0644011,1.0391548,1.0923084,1.2266617,1.0644011
1990-01-10 23:00:00,1.3687744140625,12.730323791503906,207.2315673828125,1.0016754607375928,0.9983581,0.90357876,0.85814685,0.90357876,0.90357876,0.85814685,0.81415176,0.90357876,1.0977213,0.85814685,0.30646315,0.25074258,0.2228823,0.25074258,0.25074258,0.2228823,0.195022,0.25074258,0.36218372,0.2228823,1.1591762,1.0959576,1.067957,1.0959576,1.0959576,1.067957,1.0426264,1.0959576,1.2307597,1.067957
1990-01-11 23:00:00,1.434814453125,12.085304260253906,211.36795043945312,1.0104466566742818,0.9519139,0.8615437,0.8182254,0.8615437,0.8615437,0.8182254,0.77627695,0.8615437,1.0466547,0.8182254,0.29220632,0.2390779,0.21251369,0.2390779,0.2390779,0.21251369,0.18594947,0.2390779,0.34533474,0.21251369,1.1052507,1.044973,1.018275,1.044973,1.044973,1.018275,0.9941228,1.044973,1.173504,1.018275
1990-01-12 06:00:00,1.439697265625,11.829444885253906,213.49302673339844,0.9695638547841013,0.91271657,0.8260676,0.784533,0.8260676,0.8260676,0.784533,0.7443119,0.8260676,1.0035563,0.784533,0.28017402,0.2292333,0.20376293,0.2292333,0.2292333,0.20376293,0.17829256,0.2292333,0.33111477,0.20376293,1.0597395,1.0019438,0.9763452,1.0019438,1.0019438,0.9763452,0.95318747,1.0019438,1.1251823,0.9763452
